source,index,annotation
data/train/20250310_085623_frame_36_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_085623_frame_36_ok_ok_rd4_rw8.json
data/train/20250310_085707_frame_37_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_085707_frame_37_ok_ok_rd4_rw8.json
data/train/20250310_085758_frame_38_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_085758_frame_38_ok_ok_rd4_rw8.json
data/train/20250310_085853_frame_39_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_085853_frame_39_ok_ok_rd4_rw8.json
data/train/20250310_085939_frame_40_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_085939_frame_40_ok_ok_rd4_rw8.json
data/train/20250310_090029_frame_41_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090029_frame_41_ok_ok_rd4_rw8.json
data/train/20250310_090108_frame_42_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090108_frame_42_ok_ok_rd4_rw8.json
data/train/20250310_090216_frame_43_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090216_frame_43_ok_ok_rd4_rw8.json
data/train/20250310_090309_frame_44_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090309_frame_44_ok_ok_rd4_rw8.json
data/train/20250310_090353_frame_45_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090353_frame_45_ok_ok_rd4_rw8.json
data/train/20250310_090454_frame_46_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090454_frame_46_ok_ok_rd4_rw8.json
data/train/20250310_090539_frame_47_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090539_frame_47_ok_ok_rd4_rw8.json
data/train/20250310_090617_frame_48_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090617_frame_48_ok_ok_rd4_rw8.json
data/train/20250310_090654_frame_49_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090654_frame_49_ok_ok_rd4_rw8.json
data/train/20250310_090732_frame_50_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_090732_frame_50_ok_ok_rd4_rw8.json
data/train/20250310_091416_frame_51_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091416_frame_51_ok_ok_rd4_rw8.json
data/train/20250310_091459_frame_52_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091459_frame_52_ok_ok_rd4_rw8.json
data/train/20250310_091550_frame_53_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091550_frame_53_ok_ok_rd4_rw8.json
data/train/20250310_091641_frame_54_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091641_frame_54_ok_ok_rd4_rw8.json
data/train/20250310_091702_frame_55_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091702_frame_55_ok_ok_rd4_rw8.json
data/train/20250310_091746_frame_56_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091746_frame_56_ok_ok_rd4_rw8.json
data/train/20250310_091838_frame_57_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091838_frame_57_ok_ok_rd4_rw8.json
data/train/20250310_091931_frame_58_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_091931_frame_58_ok_ok_rd4_rw8.json
data/train/20250310_092023_frame_59_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092023_frame_59_ok_ok_rd4_rw8.json
data/train/20250310_092059_frame_60_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092059_frame_60_ok_ok_rd4_rw8.json
data/train/20250310_092149_frame_61_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092149_frame_61_ok_ok_rd4_rw8.json
data/train/20250310_092226_frame_62_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092226_frame_62_ok_ok_rd4_rw8.json
data/train/20250310_092312_frame_63_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092312_frame_63_ok_ok_rd4_rw8.json
data/train/20250310_092426_frame_64_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092426_frame_64_ok_ok_rd4_rw8.json
data/train/20250310_092500_frame_65_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092500_frame_65_ok_ok_rd4_rw8.json
data/train/20250310_092545_frame_66_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092545_frame_66_ok_ok_rd4_rw8.json
data/train/20250310_092642_frame_67_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092642_frame_67_ok_ok_rd4_rw8.json
data/train/20250310_092718_frame_68_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092718_frame_68_ok_ok_rd4_rw8.json
data/train/20250310_092815_frame_69_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092815_frame_69_ok_ok_rd4_rw8.json
data/train/20250310_092920_frame_70_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_092920_frame_70_ok_ok_rd4_rw8.json
data/train/20250310_094114_frame_71_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094114_frame_71_ok_ok_rd4_rw8.json
data/train/20250310_094150_frame_72_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094150_frame_72_ok_ok_rd4_rw8.json
data/train/20250310_094234_frame_73_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094234_frame_73_ok_ok_rd4_rw8.json
data/train/20250310_094329_frame_74_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094329_frame_74_ok_ok_rd4_rw8.json
data/train/20250310_094426_frame_75_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094426_frame_75_ok_ok_rd4_rw8.json
data/train/20250310_094523_frame_76_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094523_frame_76_ok_ok_rd4_rw8.json
data/train/20250310_094621_frame_77_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094621_frame_77_ok_ok_rd4_rw8.json
data/train/20250310_094703_frame_78_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094703_frame_78_ok_ok_rd4_rw8.json
data/train/20250310_094804_frame_79_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094804_frame_79_ok_ok_rd4_rw8.json
data/train/20250310_094855_frame_80_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094855_frame_80_ok_ok_rd4_rw8.json
data/train/20250310_094945_frame_81_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_094945_frame_81_ok_ok_rd4_rw8.json
data/train/20250310_095040_frame_82_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095040_frame_82_ok_ok_rd4_rw8.json
data/train/20250310_095130_frame_83_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095130_frame_83_ok_ok_rd4_rw8.json
data/train/20250310_095225_frame_84_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095225_frame_84_ok_ok_rd4_rw8.json
data/train/20250310_095316_frame_85_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095316_frame_85_ok_ok_rd4_rw8.json
data/train/20250310_095418_frame_86_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095418_frame_86_ok_ok_rd4_rw8.json
data/train/20250310_095530_frame_87_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095530_frame_87_ok_ok_rd4_rw8.json
data/train/20250310_095638_frame_88_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095638_frame_88_ok_ok_rd4_rw8.json
data/train/20250310_095723_frame_89_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095723_frame_89_ok_ok_rd4_rw8.json
data/train/20250310_095817_frame_90_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_095817_frame_90_ok_ok_rd4_rw8.json
data/train/20250310_100822_frame_91_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_100822_frame_91_ok_ok_rd4_rw8.json
data/train/20250310_100907_frame_92_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_100907_frame_92_ok_ok_rd4_rw8.json
data/train/20250310_101009_frame_93_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101009_frame_93_ok_ok_rd4_rw8.json
data/train/20250310_101100_frame_94_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101100_frame_94_ok_ok_rd4_rw8.json
data/train/20250310_101158_frame_95_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101158_frame_95_ok_ok_rd4_rw8.json
data/train/20250310_101303_frame_96_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101303_frame_96_ok_ok_rd4_rw8.json
data/train/20250310_101410_frame_97_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101410_frame_97_ok_ok_rd4_rw8.json
data/train/20250310_101459_frame_98_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101459_frame_98_ok_ok_rd4_rw8.json
data/train/20250310_101557_frame_99_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101557_frame_99_ok_ok_rd4_rw8.json
data/train/20250310_101655_frame_100_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_101655_frame_100_ok_ok_rd4_rw8.json
data/train/20250310_102057_frame_101_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102057_frame_101_ok_ok_rd4_rw8.json
data/train/20250310_102139_frame_102_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102139_frame_102_ok_ok_rd4_rw8.json
data/train/20250310_102230_frame_103_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102230_frame_103_ok_ok_rd4_rw8.json
data/train/20250310_102322_frame_104_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102322_frame_104_ok_ok_rd4_rw8.json
data/train/20250310_102406_frame_105_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102406_frame_105_ok_ok_rd4_rw8.json
data/train/20250310_102445_frame_106_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102445_frame_106_ok_ok_rd4_rw8.json
data/train/20250310_102520_frame_107_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102520_frame_107_ok_ok_rd4_rw8.json
data/train/20250310_102557_frame_108_ok_ok_rd4_rw8.cu3s,0,data/train/20250310_102557_frame_108_ok_ok_rd4_rw8.json
